,game_id,gamer_id,inDate,url,method,tableAndColumn
0,1916,58cb0e6b4b0ed4574008ea25be88917e254168d57169929d8fba61c0832035a6,2021-12-29T23:24:33.208Z,/data/gameinfo/v3.1/union,PUT,"[{'columns': ['dailyQuestCurValueDic'], 'tableName': 'achievement'}]"
1,1482,c7c359113bfd006b6e9251ee413cb99e29103187c75833d8d6be424aec236159,2021-12-29T23:24:33.195Z,/data/gameLog/v1.1/CoinData,POST,
2,1908,741885684b6503c16d0d756350b402c878fc1d0080c5cbfda2e3e72ce269f2a7,2021-12-29T23:24:33.168Z,/data/gameinfo/v3.3/union/transactionWrite,POST,
3,1482,c7c359113bfd006b6e9251ee413cb99e29103187c75833d8d6be424aec236159,2021-12-29T23:24:33.141Z,/data/gameInfo/v1.5/CoinData/2021-12-26T00:51:46.946Z,PUT,
4,1908,c71ebc65de6902b96de23d0f8c615102a8250053d52628bcf97b61e4d2736483,2021-12-29T23:24:33.138Z,/data/probability/v1.2/100/3282,GET,
5,2319,c5b95f478f443798d62dd67a0b69f16edf118e8727fa30948feb2baf6c626f9e,2021-12-29T23:24:33.135Z,/data/gameinfo/v3.1/union,PUT,"[{'columns': ['Mission1'], 'tableName': 'DailyMission'}]"
6,2319,337c5dbd9fd219782bbe75ceaf95adb2075874814c410b91f291934fa9da8e68,2021-12-29T23:24:33.130Z,/data/gameinfo/v3.1/union/PetEquipment/mine?where=%7B%7D&limit=10,GET,
7,72,9bca0b4406446fd30f610293240ac51cd3346957dab6f358e79bc23fdd1e5194,2021-12-29T23:24:33.097Z,/data/gameinfo/realtime/v1,POST,
8,2273,b6c113c582c03006f6a163dbe04411b05135d98c9e7703701dc4c5cce21646c6,2021-12-29T23:24:33.075Z,/data/rank/union/v1.1/4e2ad360-2810-11ec-b52c-2b099209f92a,POST,
9,1572,4ea178889efa6ac0e9c5f07fef0a251e6f08e04ca30cb211a35e01705a6afdaf,2021-12-29T23:24:33.050Z,/data/gamer/v3.1,GET,
10,1585,5fe75deae950a87a3f0c43cfefa8f16e3afaf19096114458d817b30ab4865948,2021-12-29T23:24:32.972Z,/data/gameLog/v1.2/%EC%9E%A5%EB%B9%84%20%EC%83%81%EC%9E%90%20%EC%82%AC%EC%9A%A9,POST,
11,1585,bdc6d1a65cfe1feb76af2a364e62445a02dcef716e0f1133f8e5d38adffb6704,2021-12-29T23:24:32.966Z,/data/rank/union/v1.1/f72a1ac0-df0e-11eb-bc74-95875190be29,POST,
12,1572,25d3eee403ad4c88e656fc6fcccf7042f75382d4290551d185fc9783afd2735d,2021-12-29T23:24:32.952Z,/data/gameinfo/v3.3/union,PUT,
13,1908,541070555d8b2763cb485073aaea9a166e4c40db3613788822cc0dd6203d3ffb,2021-12-29T23:24:32.882Z,/data/gameinfo/v3.3/union/transactionWrite,POST,
14,1908,0740c35af315a82ce639ee16727d4a2fffe5a1159e80bc6f3f6d654713b3230a,2021-12-29T23:24:32.871Z,/data/rank/union/v1.1/807322b0-cda1-11eb-afd6-dbb065845072,POST,
